rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,299129183,9,The Stonevault,2024-10-20T14:21:25.000Z,1039336,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Yeetyeet,Evoker,Augmentation,dps,Ravencrest
1,310,299129183,9,The Stonevault,2024-10-20T14:21:25.000Z,1039336,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Bigbonedstud,Druid,Guardian,tank,Ravencrest
1,310,299129183,9,The Stonevault,2024-10-20T14:21:25.000Z,1039336,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Zoolndr,Death Knight,Frost,dps,Ravencrest
1,310,299129183,9,The Stonevault,2024-10-20T14:21:25.000Z,1039336,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Lased,Mage,Frost,dps,Ravencrest
1,310,299129183,9,The Stonevault,2024-10-20T14:21:25.000Z,1039336,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Shamelito,Shaman,Restoration,healer,Twisting Nether
2,310,301075540,9,The Stonevault,2024-10-18T13:13:41.000Z,1085442,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Tristdh,Demon Hunter,Havoc,dps,Tarren Mill
2,310,301075540,9,The Stonevault,2024-10-18T13:13:41.000Z,1085442,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Ysrael,Shaman,Restoration,healer,Drak'thul
2,310,301075540,9,The Stonevault,2024-10-18T13:13:41.000Z,1085442,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Danaey,Paladin,Protection,tank,Tarren Mill
2,310,301075540,9,The Stonevault,2024-10-18T13:13:41.000Z,1085442,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Nárwanìa,Evoker,Augmentation,dps,Tarren Mill
2,310,301075540,9,The Stonevault,2024-10-18T13:13:41.000Z,1085442,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Nòxx,Evoker,Devastation,dps,Tarren Mill
3,310,300606818,9,The Stonevault,2024-10-16T12:18:23.000Z,1095576,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Étalonduq,Demon Hunter,Havoc,dps,Hyjal
3,310,300606818,9,The Stonevault,2024-10-16T12:18:23.000Z,1095576,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Nyzu,Rogue,Assassination,dps,Hyjal
3,310,300606818,9,The Stonevault,2024-10-16T12:18:23.000Z,1095576,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Xenario,Paladin,Protection,tank,Hyjal
3,310,300606818,9,The Stonevault,2024-10-16T12:18:23.000Z,1095576,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Набат,Mage,Frost,dps,Howling Fjord
