rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,305629997,9,The Stonevault,2024-11-07T14:21:44.000Z,814505,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Рэйвмейв,Evoker,Augmentation,dps,Howling Fjord
1,310,305629997,9,The Stonevault,2024-11-07T14:21:44.000Z,814505,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Formgodx,Paladin,Protection,tank,Kazzak
1,310,305629997,9,The Stonevault,2024-11-07T14:21:44.000Z,814505,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Dlkey,Evoker,Augmentation,dps,Stormscale
1,310,305629997,9,The Stonevault,2024-11-07T14:21:44.000Z,814505,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Ivriblue,Shaman,Enhancement,dps,Silvermoon
1,310,305629997,9,The Stonevault,2024-11-07T14:21:44.000Z,814505,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Joyemoji,Priest,Discipline,healer,Stormscale
2,310,306575940,9,The Stonevault,2024-11-11T17:13:51.000Z,958390,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Trunkenbolt,Monk,Mistweaver,healer,Madmortem
2,310,306575940,9,The Stonevault,2024-11-11T17:13:51.000Z,958390,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Mømîne,Shaman,Elemental,dps,Hyjal
2,310,306575940,9,The Stonevault,2024-11-11T17:13:51.000Z,958390,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Costantyne,Warrior,Fury,dps,Pozzo dell'Eternità
2,310,306575940,9,The Stonevault,2024-11-11T17:13:51.000Z,958390,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Охнеточка,Paladin,Retribution,dps,Howling Fjord
2,310,306575940,9,The Stonevault,2024-11-11T17:13:51.000Z,958390,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Ahiley,Paladin,Protection,tank,Silvermoon
3,310,306372180,9,The Stonevault,2024-11-10T14:00:17.000Z,991137,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Ухтыухты,Shaman,Elemental,dps,Soulflayer
3,310,306372180,9,The Stonevault,2024-11-10T14:00:17.000Z,991137,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Вавелина,Priest,Discipline,healer,Howling Fjord
3,310,306372180,9,The Stonevault,2024-11-10T14:00:17.000Z,991137,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Holilili,Paladin,Protection,tank,Silvermoon
3,310,306372180,9,The Stonevault,2024-11-10T14:00:17.000Z,991137,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Шоумандр,Shaman,Enhancement,dps,Howling Fjord
3,310,306372180,9,The Stonevault,2024-11-10T14:00:17.000Z,991137,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Плэйси,Druid,Balance,dps,Howling Fjord
4,310,306322407,9,The Stonevault,2024-11-09T23:17:39.000Z,1000330,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Nexpræst,Priest,Shadow,dps,Twisting Nether
4,310,306322407,9,The Stonevault,2024-11-09T23:17:39.000Z,1000330,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Skenga-116995808,Rogue,Outlaw,dps,Tarren Mill
4,310,306322407,9,The Stonevault,2024-11-09T23:17:39.000Z,1000330,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Kronkman,Paladin,Retribution,dps,Draenor
4,310,306322407,9,The Stonevault,2024-11-09T23:17:39.000Z,1000330,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Dannic,Priest,Discipline,healer,Boulderfist
4,310,306322407,9,The Stonevault,2024-11-09T23:17:39.000Z,1000330,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Lnoghtpala,Paladin,Protection,tank,Tarren Mill
5,310,306073662,9,The Stonevault,2024-11-07T22:54:31.000Z,1018101,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Zîc,Druid,Balance,dps,Ravencrest
5,310,306073662,9,The Stonevault,2024-11-07T22:54:31.000Z,1018101,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Truenvy,Mage,Frost,dps,Silvermoon
5,310,306073662,9,The Stonevault,2024-11-07T22:54:31.000Z,1018101,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Congafury,Hunter,Survival,dps,Silvermoon
5,310,306073662,9,The Stonevault,2024-11-07T22:54:31.000Z,1018101,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Челибосина,Paladin,Protection,tank,Howling Fjord
5,310,306073662,9,The Stonevault,2024-11-07T22:54:31.000Z,1018101,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Papys,Priest,Discipline,healer,Silvermoon
6,310,306888819,9,The Stonevault,2024-11-12T20:42:19.000Z,1029594,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Sensacja,Priest,Discipline,healer,Burning Legion
6,310,306888819,9,The Stonevault,2024-11-12T20:42:19.000Z,1029594,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Håiko,Warrior,Fury,dps,Silvermoon
6,310,306888819,9,The Stonevault,2024-11-12T20:42:19.000Z,1029594,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Konsekracja,Paladin,Protection,tank,Burning Legion
6,310,306888819,9,The Stonevault,2024-11-12T20:42:19.000Z,1029594,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Mlemizzko,Druid,Balance,dps,Silvermoon
6,310,306888819,9,The Stonevault,2024-11-12T20:42:19.000Z,1029594,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Cumbüst,Mage,Fire,dps,Burning Legion
7,310,305952343,9,The Stonevault,2024-11-08T18:38:18.000Z,1037317,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Fujin,Priest,Discipline,healer,Thrall
7,310,305952343,9,The Stonevault,2024-11-08T18:38:18.000Z,1037317,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Jakobr,Rogue,Assassination,dps,Tarren Mill
7,310,305952343,9,The Stonevault,2024-11-08T18:38:18.000Z,1037317,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Totemiorz,Shaman,Enhancement,dps,Twisting Nether
7,310,305952343,9,The Stonevault,2024-11-08T18:38:18.000Z,1037317,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Kuumdk,Death Knight,Frost,dps,Thrall
7,310,305952343,9,The Stonevault,2024-11-08T18:38:18.000Z,1037317,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Synexfotm,Paladin,Protection,tank,Thrall
8,310,305927829,9,The Stonevault,2024-11-08T22:11:55.000Z,1042202,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Upupu,Priest,Discipline,healer,Silvermoon
8,310,305927829,9,The Stonevault,2024-11-08T22:11:55.000Z,1042202,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Rurudi,Hunter,Beast Mastery,dps,Twisting Nether
8,310,305927829,9,The Stonevault,2024-11-08T22:11:55.000Z,1042202,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Frierren,Paladin,Protection,tank,Twisting Nether
8,310,305927829,9,The Stonevault,2024-11-08T22:11:55.000Z,1042202,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Eelcdeath,Death Knight,Unholy,dps,Twisting Nether
8,310,305927829,9,The Stonevault,2024-11-08T22:11:55.000Z,1042202,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Diamondvsup,Evoker,Augmentation,dps,Twisting Nether
9,310,306045247,9,The Stonevault,2024-11-09T11:47:16.000Z,1046901,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Avënger,Paladin,Retribution,dps,Twisting Nether
9,310,306045247,9,The Stonevault,2024-11-09T11:47:16.000Z,1046901,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Vorgeniaa,Warrior,Protection,tank,Ravencrest
9,310,306045247,9,The Stonevault,2024-11-09T11:47:16.000Z,1046901,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Onichan,Shaman,Restoration,healer,Kazzak
9,310,306045247,9,The Stonevault,2024-11-09T11:47:16.000Z,1046901,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Merov,Hunter,Survival,dps,Aggra (Português)
9,310,306045247,9,The Stonevault,2024-11-09T11:47:16.000Z,1046901,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Kid,Hunter,Beast Mastery,dps,Sylvanas
10,310,306177439,9,The Stonevault,2024-11-09T19:42:55.000Z,1046904,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Danceforever,Shaman,Elemental,dps,Ysondre
10,310,306177439,9,The Stonevault,2024-11-09T19:42:55.000Z,1046904,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Ëxis,Priest,Discipline,healer,Ysondre
10,310,306177439,9,The Stonevault,2024-11-09T19:42:55.000Z,1046904,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Skunnÿ,Rogue,Assassination,dps,Ysondre
10,310,306177439,9,The Stonevault,2024-11-09T19:42:55.000Z,1046904,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Maharajaih,Death Knight,Unholy,dps,Ravencrest
10,310,306177439,9,The Stonevault,2024-11-09T19:42:55.000Z,1046904,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Gnometank-230813064,Death Knight,Blood,tank,Tarren Mill
11,310,305481457,9,The Stonevault,2024-11-06T18:29:44.000Z,1049308,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Xellart,Druid,Balance,dps,Tarren Mill
11,310,305481457,9,The Stonevault,2024-11-06T18:29:44.000Z,1049308,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Fronczila,Monk,Mistweaver,healer,Burning Legion
11,310,305481457,9,The Stonevault,2024-11-06T18:29:44.000Z,1049308,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Gèliadø,Mage,Frost,dps,Tarren Mill
11,310,305481457,9,The Stonevault,2024-11-06T18:29:44.000Z,1049308,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Ebss,Shaman,Enhancement,dps,Kazzak
11,310,305481457,9,The Stonevault,2024-11-06T18:29:44.000Z,1049308,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Thargas,Paladin,Protection,tank,Blackrock
12,310,305565565,9,The Stonevault,2024-11-06T23:38:29.000Z,1052190,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Szäry,Warlock,Destruction,dps,Burning Legion
12,310,305565565,9,The Stonevault,2024-11-06T23:38:29.000Z,1052190,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Mulderfox,Shaman,Enhancement,dps,Burning Legion
12,310,305565565,9,The Stonevault,2024-11-06T23:38:29.000Z,1052190,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Boczék,Paladin,Protection,tank,Burning Legion
12,310,305565565,9,The Stonevault,2024-11-06T23:38:29.000Z,1052190,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Trikxia,Paladin,Retribution,dps,Tarren Mill
12,310,305565565,9,The Stonevault,2024-11-06T23:38:29.000Z,1052190,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Paporzatko,Shaman,Restoration,healer,Burning Legion
13,310,305499791,9,The Stonevault,2024-11-06T20:18:52.000Z,1055431,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Palbuttch,Paladin,Protection,tank,Silvermoon
13,310,305499791,9,The Stonevault,2024-11-06T20:18:52.000Z,1055431,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Hsuna,Paladin,Retribution,dps,Blackmoore
13,310,305499791,9,The Stonevault,2024-11-06T20:18:52.000Z,1055431,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Узёбок,Priest,Discipline,healer,Howling Fjord
13,310,305499791,9,The Stonevault,2024-11-06T20:18:52.000Z,1055431,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Аянуболок,Warlock,Destruction,dps,Howling Fjord
13,310,305499791,9,The Stonevault,2024-11-06T20:18:52.000Z,1055431,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Dyncan,Druid,Balance,dps,Silvermoon
14,310,305936712,9,The Stonevault,2024-11-08T23:00:08.000Z,1060433,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Vania,Paladin,Retribution,dps,Drak'thul
14,310,305936712,9,The Stonevault,2024-11-08T23:00:08.000Z,1060433,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Belgaria,Warrior,Protection,tank,Lothar
14,310,305936712,9,The Stonevault,2024-11-08T23:00:08.000Z,1060433,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Elykra,Death Knight,Frost,dps,Draenor
14,310,305936712,9,The Stonevault,2024-11-08T23:00:08.000Z,1060433,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Persham,Shaman,Restoration,healer,Blackrock
14,310,305936712,9,The Stonevault,2024-11-08T23:00:08.000Z,1060433,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Happyf,Paladin,Retribution,dps,Silvermoon
15,310,306088330,9,The Stonevault,2024-11-09T16:15:05.000Z,1060859,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Vigorr,Rogue,Assassination,dps,Draenor
