rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,309507898,9,The Stonevault,2024-11-28T15:23:23.000Z,1017827,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Asulon,Monk,Windwalker,dps,Kult der Verdammten
1,310,309507898,9,The Stonevault,2024-11-28T15:23:23.000Z,1017827,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Iapoussiere,Warrior,Protection,tank,Hyjal
1,310,309507898,9,The Stonevault,2024-11-28T15:23:23.000Z,1017827,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Ánin,Shaman,Elemental,dps,Blackhand
1,310,309507898,9,The Stonevault,2024-11-28T15:23:23.000Z,1017827,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Stepheal,Shaman,Restoration,healer,Kazzak
1,310,309507898,9,The Stonevault,2024-11-28T15:23:23.000Z,1017827,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Brightaxe,Hunter,Survival,dps,Draenor
2,310,309492494,9,The Stonevault,2024-11-28T12:09:37.000Z,1057482,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Kyucian,Paladin,Protection,tank,Silvermoon
2,310,309492494,9,The Stonevault,2024-11-28T12:09:37.000Z,1057482,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Stormyraka,Shaman,Restoration,healer,Kazzak
2,310,309492494,9,The Stonevault,2024-11-28T12:09:37.000Z,1057482,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Soulstealler,Rogue,Assassination,dps,Kazzak
2,310,309492494,9,The Stonevault,2024-11-28T12:09:37.000Z,1057482,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Yelizavetaa,Hunter,Survival,dps,Kazzak
2,310,309492494,9,The Stonevault,2024-11-28T12:09:37.000Z,1057482,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Damounie,Death Knight,Unholy,dps,Archimonde
