rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307731248,9,The Stonevault,2024-11-17T12:29:22.000Z,1129407,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",뚜미,Priest,Discipline,healer,Azshara
1,310,307731248,9,The Stonevault,2024-11-17T12:29:22.000Z,1129407,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",찌동님,Death Knight,Frost,dps,Azshara
1,310,307731248,9,The Stonevault,2024-11-17T12:29:22.000Z,1129407,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",키핑별,Druid,Balance,dps,Azshara
1,310,307731248,9,The Stonevault,2024-11-17T12:29:22.000Z,1129407,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",치해뚜,Shaman,Enhancement,dps,Azshara
1,310,307731248,9,The Stonevault,2024-11-17T12:29:22.000Z,1129407,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",여기맞아여기,Paladin,Protection,tank,Azshara
2,310,307974203,9,The Stonevault,2024-11-18T21:52:15.000Z,1138865,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Sacredy,Paladin,Protection,tank,Azshara
2,310,307974203,9,The Stonevault,2024-11-18T21:52:15.000Z,1138865,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Clbertcamuso,Shaman,Elemental,dps,Azshara
2,310,307974203,9,The Stonevault,2024-11-18T21:52:15.000Z,1138865,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",의천도룡도,Paladin,Retribution,dps,Azshara
2,310,307974203,9,The Stonevault,2024-11-18T21:52:15.000Z,1138865,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",꾹꾹이테라피,Shaman,Elemental,dps,Cenarius
2,310,307974203,9,The Stonevault,2024-11-18T21:52:15.000Z,1138865,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",우당탕뿅당탕,Priest,Discipline,healer,Azshara
3,310,308262987,9,The Stonevault,2024-11-20T10:06:32.000Z,1161324,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",섹시뿅,Druid,Balance,dps,Azshara
3,310,308262987,9,The Stonevault,2024-11-20T10:06:32.000Z,1161324,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",아스델,Priest,Holy,healer,Azshara
3,310,308262987,9,The Stonevault,2024-11-20T10:06:32.000Z,1161324,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",램온,Paladin,Protection,tank,Azshara
3,310,308262987,9,The Stonevault,2024-11-20T10:06:32.000Z,1161324,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",겨울맞이축제,Paladin,Retribution,dps,Azshara
3,310,308262987,9,The Stonevault,2024-11-20T10:06:32.000Z,1161324,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",똥그란술사,Shaman,Enhancement,dps,Azshara
4,310,307475877,9,The Stonevault,2024-11-16T06:59:26.000Z,1178699,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",슬픈토템증후군,Shaman,Restoration,healer,Azshara
4,310,307475877,9,The Stonevault,2024-11-16T06:59:26.000Z,1178699,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",숭딩당딩동,Shaman,Enhancement,dps,Azshara
4,310,307475877,9,The Stonevault,2024-11-16T06:59:26.000Z,1178699,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",힘든여정,Paladin,Retribution,dps,Azshara
4,310,307475877,9,The Stonevault,2024-11-16T06:59:26.000Z,1178699,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",정진혁,Hunter,Beast Mastery,dps,Azshara
4,310,307475877,9,The Stonevault,2024-11-16T06:59:26.000Z,1178699,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",카시,Druid,Guardian,tank,Azshara
5,310,308234975,9,The Stonevault,2024-11-20T03:48:06.000Z,1200602,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",라치피치라,Shaman,Enhancement,dps,Azshara
5,310,308234975,9,The Stonevault,2024-11-20T03:48:06.000Z,1200602,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",특공단,Warrior,Fury,dps,Azshara
5,310,308234975,9,The Stonevault,2024-11-20T03:48:06.000Z,1200602,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",돌차기,Monk,Mistweaver,healer,Azshara
5,310,308234975,9,The Stonevault,2024-11-20T03:48:06.000Z,1200602,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",번개용녀,Shaman,Elemental,dps,Azshara
5,310,308234975,9,The Stonevault,2024-11-20T03:48:06.000Z,1200602,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",아리푸,Paladin,Protection,tank,Azshara
6,310,307446558,9,The Stonevault,2024-11-16T04:54:27.000Z,1210332,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",불페라박피전문,Monk,Windwalker,dps,Azshara
6,310,307446558,9,The Stonevault,2024-11-16T04:54:27.000Z,1210332,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",술사어렵나요,Shaman,Enhancement,dps,Hyjal
6,310,307446558,9,The Stonevault,2024-11-16T04:54:27.000Z,1210332,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Endmill,Druid,Balance,dps,Azshara
6,310,307446558,9,The Stonevault,2024-11-16T04:54:27.000Z,1210332,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Bina,Priest,Discipline,healer,Azshara
6,310,307446558,9,The Stonevault,2024-11-16T04:54:27.000Z,1210332,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",사이버괴테,Demon Hunter,Vengeance,tank,Azshara
