rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308370645,9,The Stonevault,2024-11-21T01:25:45.000Z,1027719,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",뮤란제아,Death Knight,Frost,dps,Zul'jin
1,310,308370645,9,The Stonevault,2024-11-21T01:25:45.000Z,1027719,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",파닥,Evoker,Augmentation,dps,Azshara
1,310,308370645,9,The Stonevault,2024-11-21T01:25:45.000Z,1027719,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",나비쿤,Shaman,Enhancement,dps,Azshara
1,310,308370645,9,The Stonevault,2024-11-21T01:25:45.000Z,1027719,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",딴딴시치,Paladin,Protection,tank,Azshara
1,310,308370645,9,The Stonevault,2024-11-21T01:25:45.000Z,1027719,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",보복수사,Priest,Discipline,healer,Azshara
2,310,308410890,9,The Stonevault,2024-11-21T10:22:50.000Z,1118052,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",힐벵,Priest,Discipline,healer,Azshara
2,310,308410890,9,The Stonevault,2024-11-21T10:22:50.000Z,1118052,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ruxz,Paladin,Protection,tank,Azshara
2,310,308410890,9,The Stonevault,2024-11-21T10:22:50.000Z,1118052,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Azules,Paladin,Retribution,dps,Azshara
2,310,308410890,9,The Stonevault,2024-11-21T10:22:50.000Z,1118052,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Psionics,Shaman,Enhancement,dps,Azshara
2,310,308410890,9,The Stonevault,2024-11-21T10:22:50.000Z,1118052,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Arties,Mage,Arcane,dps,Azshara
3,310,308544271,9,The Stonevault,2024-11-22T06:55:48.000Z,1188717,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",석지니기사,Paladin,Protection,tank,Azshara
3,310,308544271,9,The Stonevault,2024-11-22T06:55:48.000Z,1188717,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Desiz,Paladin,Holy,healer,Azshara
3,310,308544271,9,The Stonevault,2024-11-22T06:55:48.000Z,1188717,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Pibee,Rogue,Assassination,dps,Azshara
3,310,308544271,9,The Stonevault,2024-11-22T06:55:48.000Z,1188717,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",단춤이,Shaman,Enhancement,dps,Azshara
3,310,308544271,9,The Stonevault,2024-11-22T06:55:48.000Z,1188717,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",에론,Paladin,Retribution,dps,Azshara
4,310,309097644,9,The Stonevault,2024-11-25T15:42:03.000Z,1195163,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",깨방정,Shaman,Enhancement,dps,Azshara
4,310,309097644,9,The Stonevault,2024-11-25T15:42:03.000Z,1195163,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",비공개,Warrior,Fury,dps,Azshara
4,310,309097644,9,The Stonevault,2024-11-25T15:42:03.000Z,1195163,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",요정전용마주셔틀,Priest,Discipline,healer,Azshara
