rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,300891300,9,The Stonevault,2024-10-17T17:35:13.000Z,1100261,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",콘노,Warrior,Fury,dps,Azshara
1,310,300891300,9,The Stonevault,2024-10-17T17:35:13.000Z,1100261,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",화찜,Shaman,Restoration,healer,Azshara
1,310,300891300,9,The Stonevault,2024-10-17T17:35:13.000Z,1100261,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",잉벤죽기,Death Knight,Unholy,dps,Azshara
1,310,300891300,9,The Stonevault,2024-10-17T17:35:13.000Z,1100261,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",재이드,Paladin,Retribution,dps,Azshara
1,310,300891300,9,The Stonevault,2024-10-17T17:35:13.000Z,1100261,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",어으,Warrior,Protection,tank,Azshara
2,310,300835895,9,The Stonevault,2024-10-17T11:56:25.000Z,1106605,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Raue,Priest,Discipline,healer,Azshara
2,310,300835895,9,The Stonevault,2024-10-17T11:56:25.000Z,1106605,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",치킨마싯졍,Shaman,Enhancement,dps,Azshara
2,310,300835895,9,The Stonevault,2024-10-17T11:56:25.000Z,1106605,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",스티브로저스,Paladin,Protection,tank,Hyjal
2,310,300835895,9,The Stonevault,2024-10-17T11:56:25.000Z,1106605,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",꿈디네,Hunter,Marksmanship,dps,Azshara
2,310,300835895,9,The Stonevault,2024-10-17T11:56:25.000Z,1106605,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",뜯깃핑,Death Knight,Frost,dps,Azshara
3,309.8,301154444,9,The Stonevault,2024-10-18T15:06:52.000Z,1254863,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",모죠사토루,Shaman,Enhancement,dps,Azshara
3,309.8,301154444,9,The Stonevault,2024-10-18T15:06:52.000Z,1254863,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",양준수대장,Rogue,Assassination,dps,Azshara
3,309.8,301154444,9,The Stonevault,2024-10-18T15:06:52.000Z,1254863,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",노멀쥬지,Warrior,Protection,tank,Azshara
3,309.8,301154444,9,The Stonevault,2024-10-18T15:06:52.000Z,1254863,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Klode,Druid,Balance,dps,Azshara
