rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,303622319,9,The Stonevault,2024-10-29T12:12:19.000Z,1103320,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Anon365210F,Hunter,Survival,dps,Anonymous
1,310,303622319,9,The Stonevault,2024-10-29T12:12:19.000Z,1103320,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",姜太公,Paladin,Protection,tank,Icecrown
1,310,303622319,9,The Stonevault,2024-10-29T12:12:19.000Z,1103320,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",蟲魚,Warlock,Demonology,dps,Nightsong
1,310,303622319,9,The Stonevault,2024-10-29T12:12:19.000Z,1103320,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",指尖弦舞,Hunter,Beast Mastery,dps,Skywall
1,310,303622319,9,The Stonevault,2024-10-29T12:12:19.000Z,1103320,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",綾野夏樹,Priest,Discipline,healer,Nightsong
2,310,304012100,9,The Stonevault,2024-10-29T14:51:16.000Z,1133196,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",小柏拉圖,Paladin,Retribution,dps,Sundown Marsh
2,310,304012100,9,The Stonevault,2024-10-29T14:51:16.000Z,1133196,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",坑爹的女孩兒,Shaman,Elemental,dps,Menethil
2,310,304012100,9,The Stonevault,2024-10-29T14:51:16.000Z,1133196,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",拋碰隱,Demon Hunter,Vengeance,tank,Shadowmoon
2,310,304012100,9,The Stonevault,2024-10-29T14:51:16.000Z,1133196,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",嘗嘗我的巨棒,Paladin,Retribution,dps,Frostmane
2,310,304012100,9,The Stonevault,2024-10-29T14:51:16.000Z,1133196,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Aserein-230268712,Priest,Discipline,healer,Frostmane
3,310,302928763,9,The Stonevault,2024-10-26T13:56:25.000Z,1192874,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",無聊布洛德,Rogue,Outlaw,dps,Skywall
3,310,302928763,9,The Stonevault,2024-10-26T13:56:25.000Z,1192874,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",壹拾柒刀,Shaman,Elemental,dps,Sundown Marsh
3,310,302928763,9,The Stonevault,2024-10-26T13:56:25.000Z,1192874,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",就知道睡覺-225304903,Death Knight,Frost,dps,Sundown Marsh
3,310,302928763,9,The Stonevault,2024-10-26T13:56:25.000Z,1192874,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",逆天改命,Druid,Guardian,tank,Silverwing Hold
3,310,302928763,9,The Stonevault,2024-10-26T13:56:25.000Z,1192874,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",牛逼不,Shaman,Restoration,healer,Nightsong
4,310,303535247,9,The Stonevault,2024-10-28T14:41:08.000Z,1218539,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",朴敘俊,Rogue,Assassination,dps,Bleeding Hollow
4,310,303535247,9,The Stonevault,2024-10-28T14:41:08.000Z,1218539,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",艾里克羅傑,Paladin,Retribution,dps,World Tree
4,310,303535247,9,The Stonevault,2024-10-28T14:41:08.000Z,1218539,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",牙希,Warrior,Fury,dps,Whisperwind
4,310,303535247,9,The Stonevault,2024-10-28T14:41:08.000Z,1218539,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",非本人,Warrior,Protection,tank,Bleeding Hollow
4,310,303535247,9,The Stonevault,2024-10-28T14:41:08.000Z,1218539,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",六璃,Shaman,Restoration,healer,Bleeding Hollow
5,309.8,303210612,9,The Stonevault,2024-10-27T10:25:21.000Z,1253557,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",鳥居美雪,Death Knight,Blood,tank,Chillwind Point
5,309.8,303210612,9,The Stonevault,2024-10-27T10:25:21.000Z,1253557,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",怒風狂海,Shaman,Restoration,healer,Chillwind Point
5,309.8,303210612,9,The Stonevault,2024-10-27T10:25:21.000Z,1253557,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",梅莉迪絲,Paladin,Retribution,dps,Spirestone
5,309.8,303210612,9,The Stonevault,2024-10-27T10:25:21.000Z,1253557,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",一炫一,Paladin,Retribution,dps,Icecrown
5,309.8,303210612,9,The Stonevault,2024-10-27T10:25:21.000Z,1253557,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Scathach,Demon Hunter,Havoc,dps,Chillwind Point
6,309.8,302949815,9,The Stonevault,2024-10-26T15:34:54.000Z,1255799,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",慕澄,Priest,Holy,healer,Arthas
6,309.8,302949815,9,The Stonevault,2024-10-26T15:34:54.000Z,1255799,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",秋風怒,Druid,Balance,dps,Hellscream
6,309.8,302949815,9,The Stonevault,2024-10-26T15:34:54.000Z,1255799,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",二刀流封弊者,Demon Hunter,Vengeance,tank,Hellscream
6,309.8,302949815,9,The Stonevault,2024-10-26T15:34:54.000Z,1255799,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",欸那個誰,Paladin,Retribution,dps,Hellscream
6,309.8,302949815,9,The Stonevault,2024-10-26T15:34:54.000Z,1255799,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",扁人學博士,Monk,Windwalker,dps,Icecrown
7,309.3,303809892,9,The Stonevault,2024-10-30T07:50:20.000Z,1281502,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",六呂,Priest,Shadow,dps,Wrathbringer
7,309.3,303809892,9,The Stonevault,2024-10-30T07:50:20.000Z,1281502,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",犀牛,Paladin,Retribution,dps,Shadowmoon
7,309.3,303809892,9,The Stonevault,2024-10-30T07:50:20.000Z,1281502,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",珂嫪蒂娅,Rogue,Assassination,dps,Nightsong
7,309.3,303809892,9,The Stonevault,2024-10-30T07:50:20.000Z,1281502,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",生物化学,Shaman,Restoration,healer,Nightsong
7,309.3,303809892,9,The Stonevault,2024-10-30T07:50:20.000Z,1281502,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Doraaemon-198303843,Paladin,Protection,tank,Sundown Marsh
8,309.1,301597124,9,The Stonevault,2024-10-27T15:56:06.000Z,1294058,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",涮涮鍋,Death Knight,Blood,tank,Arygos
8,309.1,301597124,9,The Stonevault,2024-10-27T15:56:06.000Z,1294058,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",破幽,Shaman,Enhancement,dps,Arygos
8,309.1,301597124,9,The Stonevault,2024-10-27T15:56:06.000Z,1294058,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",無上抹茶,Hunter,Survival,dps,World Tree
8,309.1,301597124,9,The Stonevault,2024-10-27T15:56:06.000Z,1294058,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",神秘果菜,Evoker,Preservation,healer,Arygos
8,309.1,301597124,9,The Stonevault,2024-10-27T15:56:06.000Z,1294058,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",十二喵公爵,Paladin,Retribution,dps,Arygos
9,309,303385032,9,The Stonevault,2024-10-28T05:12:02.000Z,1299840,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",元帥豬八戒,Paladin,Protection,tank,Stormscale
9,309,303385032,9,The Stonevault,2024-10-28T05:12:02.000Z,1299840,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Dkshadow,Rogue,Assassination,dps,Quel'dorei
9,309,303385032,9,The Stonevault,2024-10-28T05:12:02.000Z,1299840,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",識好茶,Hunter,Survival,dps,Sundown Marsh
9,309,303385032,9,The Stonevault,2024-10-28T05:12:02.000Z,1299840,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Lionjj,Shaman,Restoration,healer,Shadowmoon
9,309,303385032,9,The Stonevault,2024-10-28T05:12:02.000Z,1299840,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",羽毛霜雪明,Death Knight,Frost,dps,Demon Fall Canyon
10,308.9,303219507,9,The Stonevault,2024-10-27T16:27:23.000Z,1302854,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",別摸魚-51730310,Paladin,Protection,tank,Wrathbringer
10,308.9,303219507,9,The Stonevault,2024-10-27T16:27:23.000Z,1302854,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",月夜竹韻,Shaman,Elemental,dps,Nightsong
10,308.9,303219507,9,The Stonevault,2024-10-27T16:27:23.000Z,1302854,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",憎惡的老人,Warrior,Fury,dps,Bleeding Hollow
10,308.9,303219507,9,The Stonevault,2024-10-27T16:27:23.000Z,1302854,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",桃井菜菜-227663554,Priest,Discipline,healer,Wrathbringer
10,308.9,303219507,9,The Stonevault,2024-10-27T16:27:23.000Z,1302854,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Ctha,Paladin,Retribution,dps,Sundown Marsh
11,308.4,303159950,9,The Stonevault,2024-10-27T07:48:02.000Z,1328939,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Rina,Shaman,Elemental,dps,Nightsong
11,308.4,303159950,9,The Stonevault,2024-10-27T07:48:02.000Z,1328939,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Sumjuice,Evoker,Augmentation,dps,Nightsong
11,308.4,303159950,9,The Stonevault,2024-10-27T07:48:02.000Z,1328939,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",酷拉皮卡,Druid,Guardian,tank,Stormscale
11,308.4,303159950,9,The Stonevault,2024-10-27T07:48:02.000Z,1328939,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",湘小雪,Priest,Discipline,healer,Nightsong
11,308.4,303159950,9,The Stonevault,2024-10-27T07:48:02.000Z,1328939,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Echodk,Death Knight,Frost,dps,Spirestone
12,308.4,302708905,9,The Stonevault,2024-10-25T16:17:38.000Z,1329676,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",真田彩香,Monk,Mistweaver,healer,Bleeding Hollow
12,308.4,302708905,9,The Stonevault,2024-10-25T16:17:38.000Z,1329676,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Tokido,Hunter,Beast Mastery,dps,Chillwind Point
12,308.4,302708905,9,The Stonevault,2024-10-25T16:17:38.000Z,1329676,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",扒褲亂擼,Shaman,Elemental,dps,Sundown Marsh
12,308.4,302708905,9,The Stonevault,2024-10-25T16:17:38.000Z,1329676,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",靈感,Paladin,Protection,tank,Chillwind Point
12,308.4,302708905,9,The Stonevault,2024-10-25T16:17:38.000Z,1329676,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Cjosh,Priest,Shadow,dps,Sundown Marsh
13,307.9,302708562,9,The Stonevault,2024-10-25T08:03:16.000Z,1359295,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",雷卡納,Priest,Discipline,healer,World Tree
13,307.9,302708562,9,The Stonevault,2024-10-25T08:03:16.000Z,1359295,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",班西門斯,Shaman,Elemental,dps,Icecrown
13,307.9,302708562,9,The Stonevault,2024-10-25T08:03:16.000Z,1359295,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",歸終,Hunter,Survival,dps,Frostmane
13,307.9,302708562,9,The Stonevault,2024-10-25T08:03:16.000Z,1359295,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",情與琴的悸動,Warrior,Protection,tank,Crystalpine Stinger
13,307.9,302708562,9,The Stonevault,2024-10-25T08:03:16.000Z,1359295,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",雲瀾時鏡-227646653,Rogue,Assassination,dps,World Tree
14,307.9,302498526,9,The Stonevault,2024-10-24T15:31:18.000Z,1359712,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",請勿餵飼,Druid,Balance,dps,Quel'dorei
14,307.9,302498526,9,The Stonevault,2024-10-24T15:31:18.000Z,1359712,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",磁能線,Shaman,Elemental,dps,Quel'dorei
14,307.9,302498526,9,The Stonevault,2024-10-24T15:31:18.000Z,1359712,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",求級數,Monk,Mistweaver,healer,Arygos
14,307.9,302498526,9,The Stonevault,2024-10-24T15:31:18.000Z,1359712,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",祈情娃蛙,Death Knight,Frost,dps,Arygos
14,307.9,302498526,9,The Stonevault,2024-10-24T15:31:18.000Z,1359712,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",屎忽無春捲油,Warrior,Protection,tank,Wrathbringer
15,307.9,303855066,9,The Stonevault,2024-10-30T12:25:57.000Z,1359825,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",乂上杉謙信乂,Death Knight,Frost,dps,Hellscream
15,307.9,303855066,9,The Stonevault,2024-10-30T12:25:57.000Z,1359825,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",疾豹-57027558,Rogue,Assassination,dps,Hellscream
15,307.9,303855066,9,The Stonevault,2024-10-30T12:25:57.000Z,1359825,2070999,2,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",犀牛,Paladin,Protection,tank,Shadowmoon
