rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308421076,9,The Stonevault,2024-11-21T12:24:04.000Z,1109927,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Naii,Paladin,Protection,tank,Arygos
1,310,308421076,9,The Stonevault,2024-11-21T12:24:04.000Z,1109927,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",倪勒亞,Warlock,Destruction,dps,Nightsong
1,310,308421076,9,The Stonevault,2024-11-21T12:24:04.000Z,1109927,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",阿希芭菈娜,Warrior,Fury,dps,Arygos
1,310,308421076,9,The Stonevault,2024-11-21T12:24:04.000Z,1109927,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",捌滴窺六,Hunter,Survival,dps,Arygos
1,310,308421076,9,The Stonevault,2024-11-21T12:24:04.000Z,1109927,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",性福,Shaman,Restoration,healer,Zealot Blade
2,310,308850139,9,The Stonevault,2024-11-24T00:41:08.000Z,1122771,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",維龍迪爾,Hunter,Survival,dps,Shadowmoon
2,310,308850139,9,The Stonevault,2024-11-24T00:41:08.000Z,1122771,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",神多洋,Paladin,Protection,tank,Sundown Marsh
2,310,308850139,9,The Stonevault,2024-11-24T00:41:08.000Z,1122771,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",體脂肪過高,Paladin,Retribution,dps,Arthas
2,310,308850139,9,The Stonevault,2024-11-24T00:41:08.000Z,1122771,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Opopopya,Priest,Discipline,healer,Sundown Marsh
2,310,308850139,9,The Stonevault,2024-11-24T00:41:08.000Z,1122771,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",治睪代言者,Shaman,Elemental,dps,Frostmane
3,310,309064276,9,The Stonevault,2024-11-25T09:59:49.000Z,1150558,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ashes,Paladin,Retribution,dps,Dragonmaw
3,310,309064276,9,The Stonevault,2024-11-25T09:59:49.000Z,1150558,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ingee,Shaman,Enhancement,dps,Arthas
3,310,309064276,9,The Stonevault,2024-11-25T09:59:49.000Z,1150558,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",小周二號,Paladin,Protection,tank,Dragonmaw
