rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,306369585,9,The Stonevault,2024-11-10T17:35:12.000Z,1125030,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",你老母的老牧,Priest,Discipline,healer,Arthas
1,310,306369585,9,The Stonevault,2024-11-10T17:35:12.000Z,1125030,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",薇妮習筱熊,Warrior,Protection,tank,Arthas
1,310,306369585,9,The Stonevault,2024-11-10T17:35:12.000Z,1125030,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",阿扣,Warrior,Arms,dps,Arthas
1,310,306369585,9,The Stonevault,2024-11-10T17:35:12.000Z,1125030,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Nita,Paladin,Retribution,dps,Sundown Marsh
1,310,306369585,9,The Stonevault,2024-11-10T17:35:12.000Z,1125030,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",過來我電一下,Shaman,Elemental,dps,Arthas
2,310,306048079,9,The Stonevault,2024-11-09T12:28:31.000Z,1162873,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",蝨子武士,Warrior,Arms,dps,Arthas
2,310,306048079,9,The Stonevault,2024-11-09T12:28:31.000Z,1162873,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Catboss,Shaman,Enhancement,dps,Stormscale
2,310,306048079,9,The Stonevault,2024-11-09T12:28:31.000Z,1162873,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",壹貳參肆舞,Paladin,Protection,tank,Quel'dorei
2,310,306048079,9,The Stonevault,2024-11-09T12:28:31.000Z,1162873,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Cr,Paladin,Retribution,dps,Menethil
2,310,306048079,9,The Stonevault,2024-11-09T12:28:31.000Z,1162873,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",未央,Priest,Discipline,healer,Arygos
3,310,305827877,9,The Stonevault,2024-11-08T15:56:22.000Z,1210842,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",阿米,Death Knight,Unholy,dps,Shadowmoon
3,310,305827877,9,The Stonevault,2024-11-08T15:56:22.000Z,1210842,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Cohang,Mage,Arcane,dps,Shadowmoon
3,310,305827877,9,The Stonevault,2024-11-08T15:56:22.000Z,1210842,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Cr,Paladin,Retribution,dps,Menethil
3,310,305827877,9,The Stonevault,2024-11-08T15:56:22.000Z,1210842,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",又缺坦老子來,Paladin,Protection,tank,Sundown Marsh
3,310,305827877,9,The Stonevault,2024-11-08T15:56:22.000Z,1210842,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",AnonD6AFA25,Druid,Restoration,healer,Anonymous
4,310,306262910,9,The Stonevault,2024-11-10T08:26:57.000Z,1212578,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",欸舞核牛,Paladin,Retribution,dps,Sundown Marsh
4,310,306262910,9,The Stonevault,2024-11-10T08:26:57.000Z,1212578,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",白坂有以,Priest,Shadow,dps,Sundown Marsh
4,310,306262910,9,The Stonevault,2024-11-10T08:26:57.000Z,1212578,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Resonanz,Warlock,Destruction,dps,Zealot Blade
4,310,306262910,9,The Stonevault,2024-11-10T08:26:57.000Z,1212578,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",雪藏奶茶,Paladin,Protection,tank,Bleeding Hollow
4,310,306262910,9,The Stonevault,2024-11-10T08:26:57.000Z,1212578,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",水島太太,Shaman,Restoration,healer,Sundown Marsh
5,310,306278037,9,The Stonevault,2024-11-10T08:17:57.000Z,1214376,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",飲醉毆兔,Monk,Mistweaver,healer,Silverwing Hold
5,310,306278037,9,The Stonevault,2024-11-10T08:17:57.000Z,1214376,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",糖果批發商,Warlock,Destruction,dps,Quel'dorei
5,310,306278037,9,The Stonevault,2024-11-10T08:17:57.000Z,1214376,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Pninety,Evoker,Augmentation,dps,Hellscream
5,310,306278037,9,The Stonevault,2024-11-10T08:17:57.000Z,1214376,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",百鬼綾目有紀,Paladin,Protection,tank,Silverwing Hold
5,310,306278037,9,The Stonevault,2024-11-10T08:17:57.000Z,1214376,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Ignis,Shaman,Enhancement,dps,Spirestone
