rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,308.2,298435077,9,The Stonevault,2024-10-06T16:28:24.000Z,1342691,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",紫靈玥,Demon Hunter,Havoc,dps,Arygos
1,308.2,298435077,9,The Stonevault,2024-10-06T16:28:24.000Z,1342691,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",彼岸花的蠟燭,Evoker,Augmentation,dps,World Tree
1,308.2,298435077,9,The Stonevault,2024-10-06T16:28:24.000Z,1342691,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",你也是天竺鼠-204701757,Monk,Brewmaster,tank,Nightsong
1,308.2,298435077,9,The Stonevault,2024-10-06T16:28:24.000Z,1342691,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",隨水,Druid,Balance,dps,World Tree
1,308.2,298435077,9,The Stonevault,2024-10-06T16:28:24.000Z,1342691,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Daveshaman,Shaman,Restoration,healer,Nightsong
2,307.9,297834499,9,The Stonevault,2024-10-05T10:02:21.000Z,1360650,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Valky,Warrior,Arms,dps,Arygos
2,307.9,297834499,9,The Stonevault,2024-10-05T10:02:21.000Z,1360650,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Jayy,Death Knight,Frost,dps,Arygos
2,307.9,297834499,9,The Stonevault,2024-10-05T10:02:21.000Z,1360650,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",挖咖摸多,Death Knight,Blood,tank,Arygos
2,307.9,297834499,9,The Stonevault,2024-10-05T10:02:21.000Z,1360650,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",十月暖陽,Evoker,Preservation,healer,Whisperwind
2,307.9,297834499,9,The Stonevault,2024-10-05T10:02:21.000Z,1360650,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",波霸鮮奶奶,Warlock,Destruction,dps,Dragonmaw
3,307.8,297324967,9,The Stonevault,2024-10-05T14:29:20.000Z,1362201,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",芳兒寶寶,Death Knight,Blood,tank,Quel'dorei
3,307.8,297324967,9,The Stonevault,2024-10-05T14:29:20.000Z,1362201,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Meek,Hunter,Marksmanship,dps,Shadowmoon
3,307.8,297324967,9,The Stonevault,2024-10-05T14:29:20.000Z,1362201,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",御煌犽,Paladin,Retribution,dps,Quel'dorei
3,307.8,297324967,9,The Stonevault,2024-10-05T14:29:20.000Z,1362201,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Apocalypse,Death Knight,Unholy,dps,Quel'dorei
3,307.8,297324967,9,The Stonevault,2024-10-05T14:29:20.000Z,1362201,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",小奶皇,Shaman,Restoration,healer,Whisperwind
4,307.1,298652625,9,The Stonevault,2024-10-08T16:21:47.000Z,1402105,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",會飛的老爹,Paladin,Retribution,dps,Arthas
4,307.1,298652625,9,The Stonevault,2024-10-08T16:21:47.000Z,1402105,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Holyfish,Druid,Balance,dps,Arygos
4,307.1,298652625,9,The Stonevault,2024-10-08T16:21:47.000Z,1402105,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Mejumpdk,Death Knight,Blood,tank,Shadowmoon
4,307.1,298652625,9,The Stonevault,2024-10-08T16:21:47.000Z,1402105,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",明太子鮭魚丼,Warlock,Destruction,dps,Shadowmoon
4,307.1,298652625,9,The Stonevault,2024-10-08T16:21:47.000Z,1402105,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",洗澡按摩,Paladin,Holy,healer,Shadowmoon
5,306.8,298419073,9,The Stonevault,2024-10-07T12:52:52.000Z,1416823,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",涮涮鍋,Death Knight,Blood,tank,Arygos
5,306.8,298419073,9,The Stonevault,2024-10-07T12:52:52.000Z,1416823,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",麻椅上訴,Warlock,Destruction,dps,Nightsong
5,306.8,298419073,9,The Stonevault,2024-10-07T12:52:52.000Z,1416823,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",小紅鳥,Shaman,Restoration,healer,Light's Hope
5,306.8,298419073,9,The Stonevault,2024-10-07T12:52:52.000Z,1416823,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Gwyn,Death Knight,Frost,dps,Light's Hope
5,306.8,298419073,9,The Stonevault,2024-10-07T12:52:52.000Z,1416823,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",十二喵公爵,Paladin,Retribution,dps,Arygos
6,306.8,298846983,9,The Stonevault,2024-10-08T17:12:09.000Z,1419273,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",牛頭能,Druid,Guardian,tank,Sundown Marsh
6,306.8,298846983,9,The Stonevault,2024-10-08T17:12:09.000Z,1419273,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",秋秋,Paladin,Retribution,dps,Whisperwind
6,306.8,298846983,9,The Stonevault,2024-10-08T17:12:09.000Z,1419273,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",柚亞,Mage,Frost,dps,Zealot Blade
6,306.8,298846983,9,The Stonevault,2024-10-08T17:12:09.000Z,1419273,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",榻榻米,Shaman,Restoration,healer,Sundown Marsh
6,306.8,298846983,9,The Stonevault,2024-10-08T17:12:09.000Z,1419273,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",小豪鬼,Death Knight,Frost,dps,Sundown Marsh
7,306.6,297427701,9,The Stonevault,2024-10-03T15:11:16.000Z,1427989,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",夏日蜜蘋果酒,Paladin,Retribution,dps,Icecrown
7,306.6,297427701,9,The Stonevault,2024-10-03T15:11:16.000Z,1427989,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",污地可耕,Warlock,Affliction,dps,Arygos
7,306.6,297427701,9,The Stonevault,2024-10-03T15:11:16.000Z,1427989,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",凍死人,Mage,Arcane,dps,Spirestone
7,306.6,297427701,9,The Stonevault,2024-10-03T15:11:16.000Z,1427989,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",舒大人,Shaman,Restoration,healer,Whisperwind
7,306.6,297427701,9,The Stonevault,2024-10-03T15:11:16.000Z,1427989,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",楠楓-227956722,Demon Hunter,Vengeance,tank,World Tree
8,306.4,298639827,9,The Stonevault,2024-10-08T14:05:11.000Z,1443371,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",我需要復活,Death Knight,Blood,tank,Quel'dorei
8,306.4,298639827,9,The Stonevault,2024-10-08T14:05:11.000Z,1443371,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",茶茶醬,Priest,Holy,healer,Wrathbringer
8,306.4,298639827,9,The Stonevault,2024-10-08T14:05:11.000Z,1443371,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",磁能線,Shaman,Enhancement,dps,Quel'dorei
8,306.4,298639827,9,The Stonevault,2024-10-08T14:05:11.000Z,1443371,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",雷翁夢行者,Warrior,Fury,dps,Shadowmoon
8,306.4,298639827,9,The Stonevault,2024-10-08T14:05:11.000Z,1443371,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Qqsb,Rogue,Assassination,dps,Spirestone
9,306.3,297954098,9,The Stonevault,2024-10-05T17:11:10.000Z,1446646,2070999,2,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",兔巴巴,Druid,Guardian,tank,Silverwing Hold
