rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,302958961,9,The Stonevault,2024-10-26T15:54:43.000Z,1032473,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Shafyre,Death Knight,Frost,dps,Ragnaros
1,310,302958961,9,The Stonevault,2024-10-26T15:54:43.000Z,1032473,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Dreadedpwell,Shaman,Elemental,dps,Area 52
1,310,302958961,9,The Stonevault,2024-10-26T15:54:43.000Z,1032473,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Natespriesty,Priest,Discipline,healer,Area 52
1,310,302958961,9,The Stonevault,2024-10-26T15:54:43.000Z,1032473,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Morisham,Shaman,Enhancement,dps,Sargeras
1,310,302958961,9,The Stonevault,2024-10-26T15:54:43.000Z,1032473,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Tirkra,Death Knight,Blood,tank,Ragnaros
2,310,302719841,9,The Stonevault,2024-10-25T19:33:26.000Z,1103934,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Osyriss,Shaman,Restoration,healer,Proudmoore
2,310,302719841,9,The Stonevault,2024-10-25T19:33:26.000Z,1103934,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Røtt-219656905,Warlock,Destruction,dps,Proudmoore
2,310,302719841,9,The Stonevault,2024-10-25T19:33:26.000Z,1103934,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Holdenmabark,Druid,Balance,dps,Proudmoore
2,310,302719841,9,The Stonevault,2024-10-25T19:33:26.000Z,1103934,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Lilsweat,Shaman,Elemental,dps,Proudmoore
2,310,302719841,9,The Stonevault,2024-10-25T19:33:26.000Z,1103934,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Barbiedreams,Paladin,Protection,tank,Stormrage
3,310,303124675,9,The Stonevault,2024-10-27T06:54:54.000Z,1104362,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Verolix,Hunter,Survival,dps,Stormrage
3,310,303124675,9,The Stonevault,2024-10-27T06:54:54.000Z,1104362,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Zepphyria,Shaman,Restoration,healer,Stormrage
3,310,303124675,9,The Stonevault,2024-10-27T06:54:54.000Z,1104362,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Bleedman,Warrior,Protection,tank,Stormrage
3,310,303124675,9,The Stonevault,2024-10-27T06:54:54.000Z,1104362,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Knoxadin,Paladin,Retribution,dps,Stormrage
3,310,303124675,9,The Stonevault,2024-10-27T06:54:54.000Z,1104362,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Veneraea,Hunter,Marksmanship,dps,Area 52
4,310,302826725,9,The Stonevault,2024-10-26T02:05:40.000Z,1124302,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Malecki,Druid,Guardian,tank,Ragnaros
4,310,302826725,9,The Stonevault,2024-10-26T02:05:40.000Z,1124302,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Makuín,Shaman,Restoration,healer,Ragnaros
4,310,302826725,9,The Stonevault,2024-10-26T02:05:40.000Z,1124302,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Yless,Rogue,Assassination,dps,Area 52
4,310,302826725,9,The Stonevault,2024-10-26T02:05:40.000Z,1124302,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Ragerruner,Mage,Fire,dps,Area 52
4,310,302826725,9,The Stonevault,2024-10-26T02:05:40.000Z,1124302,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Juisehots,Paladin,Retribution,dps,Area 52
5,310,302483727,9,The Stonevault,2024-10-23T20:19:43.000Z,1127846,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Yaulp,Paladin,Retribution,dps,Sargeras
5,310,302483727,9,The Stonevault,2024-10-23T20:19:43.000Z,1127846,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Ðüçky,Hunter,Survival,dps,Tichondrius
5,310,302483727,9,The Stonevault,2024-10-23T20:19:43.000Z,1127846,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Galorblardor,Demon Hunter,Vengeance,tank,Tichondrius
5,310,302483727,9,The Stonevault,2024-10-23T20:19:43.000Z,1127846,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Oakleys,Mage,Arcane,dps,Tichondrius
5,310,302483727,9,The Stonevault,2024-10-23T20:19:43.000Z,1127846,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Lilstonks,Priest,Discipline,healer,Destromath
6,310,302790765,9,The Stonevault,2024-10-25T15:37:43.000Z,1136309,2070999,3,"Xal'atath's Bargain: Ascendant, Fortified, Challenger's Peril",Kawaiiwaffl,Paladin,Holy,healer,Exodar
