rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,307126983,9,The Stonevault,2024-11-14T07:06:56.000Z,1022441,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Dargonfire,Evoker,Augmentation,dps,Mal'Ganis
1,310,307126983,9,The Stonevault,2024-11-14T07:06:56.000Z,1022441,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Noobkìn,Druid,Balance,dps,Mal'Ganis
1,310,307126983,9,The Stonevault,2024-11-14T07:06:56.000Z,1022441,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Kaurnyp,Priest,Shadow,dps,Tichondrius
1,310,307126983,9,The Stonevault,2024-11-14T07:06:56.000Z,1022441,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Luhsst,Shaman,Restoration,healer,Mal'Ganis
1,310,307126983,9,The Stonevault,2024-11-14T07:06:56.000Z,1022441,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Gesmoir,Paladin,Protection,tank,Illidan
2,310,307397054,9,The Stonevault,2024-11-15T19:31:34.000Z,1041448,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Rybina,Shaman,Elemental,dps,Area 52
2,310,307397054,9,The Stonevault,2024-11-15T19:31:34.000Z,1041448,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Roadburner,Warrior,Arms,dps,Bonechewer
2,310,307397054,9,The Stonevault,2024-11-15T19:31:34.000Z,1041448,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Twîm,Mage,Arcane,dps,Area 52
2,310,307397054,9,The Stonevault,2024-11-15T19:31:34.000Z,1041448,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Vulpip,Monk,Mistweaver,healer,Area 52
2,310,307397054,9,The Stonevault,2024-11-15T19:31:34.000Z,1041448,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Testarøssá,Demon Hunter,Vengeance,tank,Area 52
3,310,306867446,9,The Stonevault,2024-11-12T23:06:58.000Z,1046634,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Mavrosevoker,Evoker,Preservation,healer,Bleeding Hollow
3,310,306867446,9,The Stonevault,2024-11-12T23:06:58.000Z,1046634,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Sleepsx,Shaman,Enhancement,dps,Sargeras
3,310,306867446,9,The Stonevault,2024-11-12T23:06:58.000Z,1046634,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Nycti,Warlock,Destruction,dps,Ragnaros
3,310,306867446,9,The Stonevault,2024-11-12T23:06:58.000Z,1046634,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Dksubbann,Death Knight,Frost,dps,Zul'jin
3,310,306867446,9,The Stonevault,2024-11-12T23:06:58.000Z,1046634,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Whitefiredh,Demon Hunter,Vengeance,tank,Illidan
4,310,307756760,9,The Stonevault,2024-11-17T17:42:46.000Z,1069508,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Rezzeth,Druid,Guardian,tank,Area 52
4,310,307756760,9,The Stonevault,2024-11-17T17:42:46.000Z,1069508,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Necrôphagist,Warlock,Demonology,dps,Area 52
4,310,307756760,9,The Stonevault,2024-11-17T17:42:46.000Z,1069508,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Prímordial,Shaman,Enhancement,dps,Area 52
4,310,307756760,9,The Stonevault,2024-11-17T17:42:46.000Z,1069508,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Fridian,Paladin,Retribution,dps,Illidan
4,310,307756760,9,The Stonevault,2024-11-17T17:42:46.000Z,1069508,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Ramonepi,Priest,Discipline,healer,Area 52
5,310,307017723,9,The Stonevault,2024-11-13T20:08:42.000Z,1070844,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Ludocïel,Shaman,Enhancement,dps,Ragnaros
5,310,307017723,9,The Stonevault,2024-11-13T20:08:42.000Z,1070844,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Can,Warrior,Fury,dps,Ragnaros
5,310,307017723,9,The Stonevault,2024-11-13T20:08:42.000Z,1070844,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Reyneth-209053565,Priest,Discipline,healer,Illidan
5,310,307017723,9,The Stonevault,2024-11-13T20:08:42.000Z,1070844,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Swdkx-229249644,Death Knight,Frost,dps,Stormrage
5,310,307017723,9,The Stonevault,2024-11-13T20:08:42.000Z,1070844,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Yazlep,Paladin,Protection,tank,Thrall
6,310,307126932,9,The Stonevault,2024-11-14T07:05:35.000Z,1075488,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Hubbspally,Paladin,Protection,tank,Sargeras
6,310,307126932,9,The Stonevault,2024-11-14T07:05:35.000Z,1075488,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Kimbethie,Paladin,Retribution,dps,Moon Guard
6,310,307126932,9,The Stonevault,2024-11-14T07:05:35.000Z,1075488,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Murnks,Monk,Mistweaver,healer,Stormrage
6,310,307126932,9,The Stonevault,2024-11-14T07:05:35.000Z,1075488,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Eraheim,Hunter,Survival,dps,Tichondrius
6,310,307126932,9,The Stonevault,2024-11-14T07:05:35.000Z,1075488,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Karleina,Warlock,Destruction,dps,Sargeras
7,310,307660550,9,The Stonevault,2024-11-17T05:28:03.000Z,1090060,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Gxclop,Paladin,Protection,tank,Illidan
7,310,307660550,9,The Stonevault,2024-11-17T05:28:03.000Z,1090060,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Gusneaky,Rogue,Assassination,dps,Stormrage
7,310,307660550,9,The Stonevault,2024-11-17T05:28:03.000Z,1090060,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Goldenzsson,Hunter,Survival,dps,Stormrage
7,310,307660550,9,The Stonevault,2024-11-17T05:28:03.000Z,1090060,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Derrotada-228470339,Shaman,Restoration,healer,Azralon
7,310,307660550,9,The Stonevault,2024-11-17T05:28:03.000Z,1090060,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Shiorinova,Paladin,Retribution,dps,Tichondrius
8,310,307566652,9,The Stonevault,2024-11-16T21:09:30.000Z,1122334,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Øverdoose,Shaman,Elemental,dps,Azralon
8,310,307566652,9,The Stonevault,2024-11-16T21:09:30.000Z,1122334,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Toriael,Paladin,Retribution,dps,Drenden
8,310,307566652,9,The Stonevault,2024-11-16T21:09:30.000Z,1122334,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Òô,Paladin,Protection,tank,Azralon
8,310,307566652,9,The Stonevault,2024-11-16T21:09:30.000Z,1122334,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Poucafé,Paladin,Retribution,dps,Azralon
8,310,307566652,9,The Stonevault,2024-11-16T21:09:30.000Z,1122334,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Holynalla,Paladin,Holy,healer,Azralon
9,310,307636525,9,The Stonevault,2024-11-16T03:52:03.000Z,1127941,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Anon3E1185,Warlock,Destruction,dps,Anonymous
9,310,307636525,9,The Stonevault,2024-11-16T03:52:03.000Z,1127941,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Faks,Paladin,Holy,healer,Thrall
9,310,307636525,9,The Stonevault,2024-11-16T03:52:03.000Z,1127941,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Disturbéd,Paladin,Protection,tank,Stormrage
9,310,307636525,9,The Stonevault,2024-11-16T03:52:03.000Z,1127941,2070999,3,"Xal'atath's Bargain: Ascendant, Tyrannical, Challenger's Peril",Átushi,Shaman,Enhancement,dps,Stormrage
