rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,308300163,9,The Stonevault,2024-11-20T16:44:24.000Z,1042883,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Superg,Druid,Balance,dps,Stormrage
1,310,308300163,9,The Stonevault,2024-11-20T16:44:24.000Z,1042883,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Mustkul,Hunter,Survival,dps,Area 52
1,310,308300163,9,The Stonevault,2024-11-20T16:44:24.000Z,1042883,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Wynniee,Paladin,Retribution,dps,Area 52
1,310,308300163,9,The Stonevault,2024-11-20T16:44:24.000Z,1042883,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Seejaym,Monk,Brewmaster,tank,Area 52
1,310,308300163,9,The Stonevault,2024-11-20T16:44:24.000Z,1042883,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Disc,Priest,Discipline,healer,Magtheridon
2,310,308119157,9,The Stonevault,2024-11-19T17:23:38.000Z,1054100,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Poomanchu,Hunter,Survival,dps,Mal'Ganis
2,310,308119157,9,The Stonevault,2024-11-19T17:23:38.000Z,1054100,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Rizac,Shaman,Restoration,healer,Area 52
2,310,308119157,9,The Stonevault,2024-11-19T17:23:38.000Z,1054100,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Aevistia,Paladin,Protection,tank,Area 52
2,310,308119157,9,The Stonevault,2024-11-19T17:23:38.000Z,1054100,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Wellock,Warlock,Demonology,dps,Garona
2,310,308119157,9,The Stonevault,2024-11-19T17:23:38.000Z,1054100,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Dkejas,Death Knight,Frost,dps,Azralon
3,310,308786057,9,The Stonevault,2024-11-23T18:49:45.000Z,1057500,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Leon,Hunter,Survival,dps,Hellscream
3,310,308786057,9,The Stonevault,2024-11-23T18:49:45.000Z,1057500,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Invispriest,Priest,Discipline,healer,Dalaran
3,310,308786057,9,The Stonevault,2024-11-23T18:49:45.000Z,1057500,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Khorta,Warrior,Fury,dps,Tichondrius
3,310,308786057,9,The Stonevault,2024-11-23T18:49:45.000Z,1057500,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Shawkyy,Shaman,Elemental,dps,Tichondrius
3,310,308786057,9,The Stonevault,2024-11-23T18:49:45.000Z,1057500,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Unspecified,Druid,Guardian,tank,Tichondrius
4,310,307916556,9,The Stonevault,2024-11-24T15:48:41.000Z,1060034,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ggmaterial,Druid,Guardian,tank,Frostmourne
4,310,307916556,9,The Stonevault,2024-11-24T15:48:41.000Z,1060034,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Florencepugh,Evoker,Augmentation,dps,Kil'jaeden
4,310,307916556,9,The Stonevault,2024-11-24T15:48:41.000Z,1060034,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Erey,Priest,Discipline,healer,Frostmourne
4,310,307916556,9,The Stonevault,2024-11-24T15:48:41.000Z,1060034,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Finalpain,Paladin,Retribution,dps,Frostmourne
4,310,307916556,9,The Stonevault,2024-11-24T15:48:41.000Z,1060034,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Yokzam,Shaman,Elemental,dps,Frostmourne
5,310,308190789,9,The Stonevault,2024-11-19T23:42:35.000Z,1069171,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Bobsrevenge,Shaman,Enhancement,dps,Bleeding Hollow
5,310,308190789,9,The Stonevault,2024-11-19T23:42:35.000Z,1069171,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Lanres,Rogue,Assassination,dps,Stormrage
5,310,308190789,9,The Stonevault,2024-11-19T23:42:35.000Z,1069171,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Fleetpink,Paladin,Protection,tank,Stormrage
5,310,308190789,9,The Stonevault,2024-11-19T23:42:35.000Z,1069171,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Tulkos,Mage,Fire,dps,Thrall
5,310,308190789,9,The Stonevault,2024-11-19T23:42:35.000Z,1069171,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Lucaspri,Priest,Discipline,healer,Stormrage
6,310,308176564,9,The Stonevault,2024-11-19T22:32:39.000Z,1074450,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Roosterjuíce,Shaman,Enhancement,dps,Sargeras
6,310,308176564,9,The Stonevault,2024-11-19T22:32:39.000Z,1074450,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Elspyroloco,Evoker,Preservation,healer,Moon Guard
6,310,308176564,9,The Stonevault,2024-11-19T22:32:39.000Z,1074450,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Hemoglobyn,Death Knight,Blood,tank,Area 52
6,310,308176564,9,The Stonevault,2024-11-19T22:32:39.000Z,1074450,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Traphouse,Hunter,Beast Mastery,dps,Zul'jin
6,310,308176564,9,The Stonevault,2024-11-19T22:32:39.000Z,1074450,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Pxy,Paladin,Retribution,dps,Area 52
7,310,308502031,9,The Stonevault,2024-11-21T23:06:20.000Z,1077899,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Jkihaveslt,Shaman,Enhancement,dps,Mal'Ganis
7,310,308502031,9,The Stonevault,2024-11-21T23:06:20.000Z,1077899,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Gudang,Warlock,Destruction,dps,Illidan
7,310,308502031,9,The Stonevault,2024-11-21T23:06:20.000Z,1077899,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Aeytro,Priest,Discipline,healer,Mal'Ganis
7,310,308502031,9,The Stonevault,2024-11-21T23:06:20.000Z,1077899,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Smoothsimp,Druid,Balance,dps,Bleeding Hollow
7,310,308502031,9,The Stonevault,2024-11-21T23:06:20.000Z,1077899,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Chustaspalla,Paladin,Protection,tank,Illidan
8,310,309054322,9,The Stonevault,2024-11-21T22:08:43.000Z,1089533,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Karnineight,Rogue,Assassination,dps,Mal'Ganis
8,310,309054322,9,The Stonevault,2024-11-21T22:08:43.000Z,1089533,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ijoe,Death Knight,Blood,tank,Tichondrius
8,310,309054322,9,The Stonevault,2024-11-21T22:08:43.000Z,1089533,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Aeytro,Priest,Discipline,healer,Mal'Ganis
8,310,309054322,9,The Stonevault,2024-11-21T22:08:43.000Z,1089533,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Domonkasshu,Paladin,Retribution,dps,Ner'zhul
8,310,309054322,9,The Stonevault,2024-11-21T22:08:43.000Z,1089533,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Casualdps,Shaman,Elemental,dps,Stormrage
9,310,308839835,9,The Stonevault,2024-11-23T23:43:03.000Z,1094321,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Iän,Paladin,Retribution,dps,Thrall
9,310,308839835,9,The Stonevault,2024-11-23T23:43:03.000Z,1094321,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Ricol,Shaman,Elemental,dps,Zul'jin
9,310,308839835,9,The Stonevault,2024-11-23T23:43:03.000Z,1094321,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Sesamo,Paladin,Retribution,dps,Dentarg
9,310,308839835,9,The Stonevault,2024-11-23T23:43:03.000Z,1094321,2070999,3,"Xal'atath's Bargain: Oblivion, Fortified, Challenger's Peril",Guildbreaker,Paladin,Protection,tank,Tichondrius
