rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,301458431,9,The Stonevault,2024-10-19T20:33:50.000Z,1077079,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Sidecake,Warrior,Protection,tank,Proudmoore
1,310,301458431,9,The Stonevault,2024-10-19T20:33:50.000Z,1077079,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Skeesky,Monk,Windwalker,dps,Proudmoore
1,310,301458431,9,The Stonevault,2024-10-19T20:33:50.000Z,1077079,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Shamansrbad,Shaman,Restoration,healer,Proudmoore
1,310,301458431,9,The Stonevault,2024-10-19T20:33:50.000Z,1077079,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Absolutemud,Warlock,Destruction,dps,Dalaran
1,310,301458431,9,The Stonevault,2024-10-19T20:33:50.000Z,1077079,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Scootko,Paladin,Retribution,dps,Akama
2,310,301768966,9,The Stonevault,2024-10-20T20:18:51.000Z,1090230,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Kahnxd,Paladin,Protection,tank,Illidan
2,310,301768966,9,The Stonevault,2024-10-20T20:18:51.000Z,1090230,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Babychomper,Druid,Balance,dps,Illidan
2,310,301768966,9,The Stonevault,2024-10-20T20:18:51.000Z,1090230,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Jeeoxo,Demon Hunter,Havoc,dps,Illidan
2,310,301768966,9,The Stonevault,2024-10-20T20:18:51.000Z,1090230,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Letzgohome-227791718,Shaman,Restoration,healer,Illidan
2,310,301768966,9,The Stonevault,2024-10-20T20:18:51.000Z,1090230,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Youlostme,Paladin,Retribution,dps,Illidan
3,310,301809414,9,The Stonevault,2024-10-20T18:47:28.000Z,1115271,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Playguu,Death Knight,Blood,tank,Zul'jin
3,310,301809414,9,The Stonevault,2024-10-20T18:47:28.000Z,1115271,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Shärkeisha,Paladin,Retribution,dps,Proudmoore
3,310,301809414,9,The Stonevault,2024-10-20T18:47:28.000Z,1115271,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Dripzi-218344155,Warrior,Fury,dps,Bleeding Hollow
3,310,301809414,9,The Stonevault,2024-10-20T18:47:28.000Z,1115271,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Chinavape,Evoker,Augmentation,dps,Illidan
3,310,301809414,9,The Stonevault,2024-10-20T18:47:28.000Z,1115271,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Thrônês,Priest,Discipline,healer,Ragnaros
4,310,301860449,9,The Stonevault,2024-10-20T03:45:28.000Z,1120514,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Dolkris,Priest,Discipline,healer,Sargeras
4,310,301860449,9,The Stonevault,2024-10-20T03:45:28.000Z,1120514,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Hushwing,Demon Hunter,Havoc,dps,Spirestone
4,310,301860449,9,The Stonevault,2024-10-20T03:45:28.000Z,1120514,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Cvv,Rogue,Assassination,dps,Stormrage
4,310,301860449,9,The Stonevault,2024-10-20T03:45:28.000Z,1120514,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Böhmer,Druid,Guardian,tank,Stormrage
4,310,301860449,9,The Stonevault,2024-10-20T03:45:28.000Z,1120514,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Shuwachan,Death Knight,Frost,dps,Stormrage
5,310,301702674,9,The Stonevault,2024-10-20T17:36:35.000Z,1136597,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Cärlinhos,Warrior,Protection,tank,Azralon
5,310,301702674,9,The Stonevault,2024-10-20T17:36:35.000Z,1136597,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Kickÿ,Monk,Mistweaver,healer,Azralon
5,310,301702674,9,The Stonevault,2024-10-20T17:36:35.000Z,1136597,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Vinirusso,Death Knight,Unholy,dps,Azralon
5,310,301702674,9,The Stonevault,2024-10-20T17:36:35.000Z,1136597,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Nïckiminhoj,Paladin,Retribution,dps,Area 52
5,310,301702674,9,The Stonevault,2024-10-20T17:36:35.000Z,1136597,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Jaxí,Shaman,Enhancement,dps,Thrall
6,310,301225004,9,The Stonevault,2024-10-18T18:45:31.000Z,1139499,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Dvl,Death Knight,Unholy,dps,Stormrage
6,310,301225004,9,The Stonevault,2024-10-18T18:45:31.000Z,1139499,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Anon776010B,Warrior,Protection,tank,Anonymous
6,310,301225004,9,The Stonevault,2024-10-18T18:45:31.000Z,1139499,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Anon870E374,Shaman,Restoration,healer,Anonymous
6,310,301225004,9,The Stonevault,2024-10-18T18:45:31.000Z,1139499,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Pound-227747145,Mage,Frost,dps,Bleeding Hollow
6,310,301225004,9,The Stonevault,2024-10-18T18:45:31.000Z,1139499,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Brightforge,Paladin,Retribution,dps,Ragnaros
7,310,301528021,9,The Stonevault,2024-10-20T01:05:23.000Z,1149438,2070999,3,"Xal'atath's Bargain: Oblivion, Tyrannical, Challenger's Peril",Moosie,Evoker,Preservation,healer,Emerald Dream
