rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,306253086,9,The Stonevault,2024-11-10T06:58:53.000Z,966688,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Preistyhama,Priest,Discipline,healer,Illidan
1,310,306253086,9,The Stonevault,2024-11-10T06:58:53.000Z,966688,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Weleninor,Paladin,Protection,tank,Mal'Ganis
1,310,306253086,9,The Stonevault,2024-11-10T06:58:53.000Z,966688,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Zangwuji,Shaman,Enhancement,dps,Illidan
1,310,306253086,9,The Stonevault,2024-11-10T06:58:53.000Z,966688,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Miquid,Druid,Balance,dps,Tichondrius
1,310,306253086,9,The Stonevault,2024-11-10T06:58:53.000Z,966688,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Celestrasza-230431043,Hunter,Survival,dps,Mal'Ganis
2,310,306484075,9,The Stonevault,2024-11-10T21:13:28.000Z,1023663,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Zaurus,Paladin,Retribution,dps,Illidan
2,310,306484075,9,The Stonevault,2024-11-10T21:13:28.000Z,1023663,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Amincommando,Paladin,Protection,tank,Area 52
2,310,306484075,9,The Stonevault,2024-11-10T21:13:28.000Z,1023663,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Ansterdamn,Shaman,Restoration,healer,Tichondrius
2,310,306484075,9,The Stonevault,2024-11-10T21:13:28.000Z,1023663,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Canudo,Shaman,Elemental,dps,Area 52
2,310,306484075,9,The Stonevault,2024-11-10T21:13:28.000Z,1023663,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Honorface,Shaman,Enhancement,dps,Azuremyst
3,310,305850211,9,The Stonevault,2024-11-08T19:11:43.000Z,1052548,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Dolkris,Priest,Discipline,healer,Sargeras
3,310,305850211,9,The Stonevault,2024-11-08T19:11:43.000Z,1052548,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Vvt,Paladin,Retribution,dps,Stormrage
3,310,305850211,9,The Stonevault,2024-11-08T19:11:43.000Z,1052548,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Littledope,Paladin,Retribution,dps,Cairne
3,310,305850211,9,The Stonevault,2024-11-08T19:11:43.000Z,1052548,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Bayser,Warlock,Destruction,dps,Sargeras
3,310,305850211,9,The Stonevault,2024-11-08T19:11:43.000Z,1052548,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Böhmer,Druid,Guardian,tank,Stormrage
4,310,305961829,9,The Stonevault,2024-11-09T00:00:09.000Z,1053026,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Rybina,Shaman,Elemental,dps,Area 52
4,310,305961829,9,The Stonevault,2024-11-09T00:00:09.000Z,1053026,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Báitu,Warlock,Demonology,dps,Tichondrius
4,310,305961829,9,The Stonevault,2024-11-09T00:00:09.000Z,1053026,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Drakurenok,Evoker,Preservation,healer,Area 52
4,310,305961829,9,The Stonevault,2024-11-09T00:00:09.000Z,1053026,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Testarøssá,Demon Hunter,Vengeance,tank,Area 52
4,310,305961829,9,The Stonevault,2024-11-09T00:00:09.000Z,1053026,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Qlaith,Rogue,Assassination,dps,Stormrage
5,310,305586984,9,The Stonevault,2024-11-07T01:55:30.000Z,1055140,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Kàmï-52575904,Shaman,Elemental,dps,Illidan
5,310,305586984,9,The Stonevault,2024-11-07T01:55:30.000Z,1055140,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Wizzlewozzle,Mage,Frost,dps,Ner'zhul
5,310,305586984,9,The Stonevault,2024-11-07T01:55:30.000Z,1055140,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Roastedd,Paladin,Retribution,dps,Illidan
5,310,305586984,9,The Stonevault,2024-11-07T01:55:30.000Z,1055140,2070999,3,"Xal'atath's Bargain: Voidbound, Fortified, Challenger's Peril",Misline-228333293,Paladin,Protection,tank,Illidan
