rank,score,keystone_team_id,mythic_level,dungeon_name,completed_at,clear_time_ms,keystone_time_ms,num_chests,affixes,player_name,player_class,player_spec,player_role,player_realm,player_faction
1,310,309248833,9,The Stonevault,2024-11-26T18:19:24.000Z,1085443,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Ronguer,Rogue,Assassination,dps,Azralon
1,310,309248833,9,The Stonevault,2024-11-26T18:19:24.000Z,1085443,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Vargheind,Evoker,Devastation,dps,Azralon
1,310,309248833,9,The Stonevault,2024-11-26T18:19:24.000Z,1085443,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Näever,Druid,Guardian,tank,Azralon
1,310,309248833,9,The Stonevault,2024-11-26T18:19:24.000Z,1085443,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Dinovsdino,Paladin,Retribution,dps,Azralon
1,310,309248833,9,The Stonevault,2024-11-26T18:19:24.000Z,1085443,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Saliana,Monk,Mistweaver,healer,Azralon
2,310,309314477,9,The Stonevault,2024-11-27T00:34:00.000Z,1088805,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Lawlcow,Paladin,Protection,tank,Thrall
2,310,309314477,9,The Stonevault,2024-11-27T00:34:00.000Z,1088805,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Morningsick,Death Knight,Frost,dps,Tichondrius
2,310,309314477,9,The Stonevault,2024-11-27T00:34:00.000Z,1088805,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Daddysboyy,Paladin,Retribution,dps,Tichondrius
2,310,309314477,9,The Stonevault,2024-11-27T00:34:00.000Z,1088805,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Agbara,Shaman,Restoration,healer,Tichondrius
2,310,309314477,9,The Stonevault,2024-11-27T00:34:00.000Z,1088805,2070999,3,"Xal'atath's Bargain: Voidbound, Tyrannical, Challenger's Peril",Thaylo,Mage,Frost,dps,Tichondrius
